allergyname,ingredientid,allergytype,foodgroup,foodorigin,manufacturerid,manufacturername,ingredientname,upc,rank,cerealtname,description,nutrientid,nutrientname,nutrientamount
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",11,iron,8.09
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",12,potassium,99.8
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",13,calories,230.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,1,fat,2.5
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,2,saturatedFat,0.502
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,3,transFat,0.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,4,cholesterol,0.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,5,sodium,120.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,6,carbohydrates,49.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,7,fiber,5.02
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,8,sugars,16.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,9,protein,5.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,10,calcium,19.8
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,11,iron,8.99
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,12,potassium,220.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275393,12,Oatmeal Raisin Crisp,GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,13,calories,230.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275362,17,Basic 4,Basic 4 Cereal,1,fat,2.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275362,17,Basic 4,Basic 4 Cereal,2,saturatedFat,1.0
Honey Allergy,67,Bee product,Bee product,Animal origin,1,"General Mills, Inc.",HONEY,16000275362,17,Basic 4,Basic 4 Cereal,3,transFat,0.0
